measure	title
H.R. 784	To clarify that service marks, collective marks, and certification marks are entitled to the same protections, rights, and privileges of trademarks.
H.R. 785	Cargo Theft Prevention Act
H.R. 786	GI Bill Enhancement Act of 2005
H.R. 787	To designate the United States courthouse located at 501 I Street in Sacramento, California, as the "Robert T. Matsui United States Courthouse".
H.R. 788	PILT and Refuge Revenue Sharing Permanent Funding Act
H.R. 789	For the relief of Alemseghed Mussie Tesfamical.
H.R. 790	Public Housing Drug Elimination Program Reauthorization Act of 2005
H.R. 791	Safe Nursing and Patient Care Act of 2005
H.R. 792	Great Lakes Restoration Act of 2005
H.R. 793	Save Our Small and Seasonal Businesses Act
H.R. 794	Colorado River Indian Reservation Boundary Correction Act
H.R. 795	To direct the Secretary of Transportation to work with the State of New York to ensure that a segment of Interstate Route 86 in the vicinity of Corning, New York, is designated as the "Amo Houghton Bypass".
H.R. 796	Domestic Preparedness Act of 2005
H.R. 797	Native American Housing Enhancement Act of 2005
H.R. 798	Methamphetamine Remediation Research Act of 2006
H.R. 799	Consumer Checking Account Fairness Act
H.R. 801	Diabetic Retinopathy Prevention Act of 2005
H.R. 802	Inland Empire Regional Water Recycling Initiative
H.R. 803	Meningococcal Vaccination Act of 2005
H.R. 804	To exclude from consideration as income certain payments under the national flood insurance program.
H.R. 805	Veterans Burial Benefits Improvement Act of 2005
H.R. 806	Congressional Pay for Performance Act
H.R. 807	To amend the Internal Revenue Code of 1986 to extend the transportation fringe benefit to bicycle commuters.
H.R. 808	Military Surviving Spouses Equity Act
H.R. 809	To make permanent the individual income tax rates for capital gains and dividends.
H.R. 810	Stem Cell Research Enhancement Act of 2005
H.R. 811	Soda Ash Royalty Reduction Act of 2005
H.R. 812	Dawson Family Community Protection Act
H.R. 813	Flu Protection Act of 2005
H.R. 814	To amend the Immigration and Nationality Act to provide for the automatic acquisition of citizenship by certain individuals born in Korea, Vietnam, Laos, Kampuchea, or Thailand.
H.R. 815	Financial Customer Identification Verification Improvement Act
H.R. 816	Nevada National Forest Land Disposal Act of 2005
H.R. 817	Animal Fighting Prohibition Enforcement Act of 2005
H.R. 818	Federal Acupuncture Coverage Act of 2005
H.R. 819	Retirement Security for Life Act of 2005
H.R. 820	To amend the Immigration and Nationality Act to reauthorize the State Criminal Alien Assistance Program.
H.R. 821	To amend title 38, United States Code, to extend the requirement for reports from the Secretary of Veterans Affairs on the disposition of cases recommended to the Secretary for equitable relief due to administrative error.
H.R. 822	Foster Care Mentoring Act of 2005
H.R. 823	Keeping Families Together Act
H.R. 824	To award a congressional gold medal to Ray Charles in recognition of his many contributions to the Nation.
H.R. 825	Gold Restitution Act of 2005
H.R. 827	Screening Abdominal Aortic Aneurysms Very Efficiently (SAAAVE) Act of 2005
H.R. 828	Commission on American Jobs Act
